folio,cuidados
8980,"Cuando me abrazan, me apoyan, se preocupan."
9556,"Cuando me abrazan, me cuidan y me quieren."
9421,"Cuando me abrazan, me dan afecto amoroso, se preocupan por mí o me defienden."
44711,"Cuando me abrazan, me dan consejos o contacto físico."
9471,"Cuando me abrazan, me demuestran cariño y afecto."
8262,"Cuando me abrazan, me hablan bonito o se preocupan por mí<3."
8263,"Cuando me abrazan, me hablan bonito o se preocupan por mí<3."
8999,"Cuando me abrazan, me hablan bonito."
118910,"Cuando me abrazan, me incluyen en sus actividades, me demuestran interés o me hablan bonito, otra persona..."
8167,"Cuando me abrazan, me preguntan de mi día, se preocupan, están conmigo en todo momento, me dan detalles y me demuestran confianza."
11688,"Cuando me abrazan, o me dicen un cumplido."
3012,Cuando me abrazan.
1304,Cuando me abrazan.
1376,Cuando me abrazan.
2935,Cuando me abrazan.
1238,Cuando me abrazan.
1620,Cuando me abrazan.
112810,Cuando me abrazan.
12713,Cuando me abrazan.
2098,Cuando me abrazan.
24201,Cuando me abrazan.
2779,Cuando me abrazan.
29031,Cuando me abrazan.
3089,Cuando me abrazan.
37421,Cuando me abrazan.
3790,Cuando me abrazan.
37911,Cuando me abrazan.
37921,Cuando me abrazan.
4252,Cuando me abrazan.
4399,Cuando me abrazan.
4478,Cuando me abrazan.
5213,Cuando me abrazan.
5246,Cuando me abrazan.
5624,Cuando me abrazan.
6270,Cuando me abrazan.
6763,Cuando me abrazan.
71911,Cuando me abrazan.
7192,Cuando me abrazan.
7193,Cuando me abrazan.
7194,Cuando me abrazan.
7732,Cuando me abrazan.
8027,Cuando me abrazan.
81001,Cuando me abrazan.
8300,Cuando me abrazan.
8547,Cuando me abrazan.
8677,Cuando me abrazan.
8684,Cuando me abrazan.
9014,Cuando me abrazan.
9450,Cuando me abrazan.
9855,Cuando me abrazan.
10256,Cuando me abrazan.
10552,Cuando me abrazan.
110101,Cuando me abrazan.
11477,Cuando me abrazan.
910,Cuando me acerco a mis padres.
7419,Cuando me acompaña
7420,Cuando me acompaña
74211,Cuando me acompaña
7422,Cuando me acompaña
7423,Cuando me acompaña
7424,Cuando me acompaña
7425,Cuando me acompaña
7426,Cuando me acompaña
10235,Cuando me acompaña a todos lados
111510,Cuando me acompañan
8606,Cuando me acompañan a algún lugar que está lejos.
8948,Cuando me acompañan a algún lugar.
9639,Cuando me acompañan a la caña.
27171,Cuando me acompañan a lugares para no ir sola.
4627,"Cuando me acompañan a un lado y me dicen que es para que no me pase nada malo, y cuando me agarran de la mano o algo para cuidarme."
2827,Cuando me acompañan a un lugar de noche o de día.
10757,Cuando me acompañan a un lugar o me aconsejan.
9039,Cuando me aconseja sobre lo que está bien y lo que está mal.
15613,Cuando me aconsejan o corrigen
7929,Cuando me aconsejan o me defienden.
9194,Cuando me aconsejan o me dicen que no sería bueno tomar o hacer.
2590,Cuando me aconsejan o me dicen que piense en las cosas antes de hacerlas.
5874,"Cuando me aconsejan para tomar una buena decisión, me preguntan cómo me siento física y emocionalmente."
78311,Cuando me aconsejan si estoy haciendo algo mal
8529,"Cuando me advierten cosas que me pueden dañar, cuando me abrazan, cuando me dan la mano y cuando me dicen algo que no debo hacer."
3937,Cuando me advierten cosas.
7539,Cuando me advierten cosas.
3453,Cuando me advierten de andar recio en el carro con mi papá.
8129,Cuando me advierten de las consecuencias.
6421,"Cuando me advierten de las cosas que podrían ser malas y de las consecuencias que podrían generar, y también cuando me prestan atención y no me dejan sola y me apoyan."
8156,Cuando me advierten sobre algo o alguien o cuando me preguntan sobre mis amistades.
11715,Cuando me advierten sobre algo.
9689,Cuando me advierten sobre las cosas malas.
9690,Cuando me advierten sobre las cosas malas.
7827,Cuando me advierten sobre peligros o me defienden.
8090,"Cuando me agarran de la mano para cruzar la calle, etc."
9583,Cuando me agarran de la mano para cruzar la calle.
4605,Cuando me agarran de la mano.
4606,Cuando me agarran de la mano.
4607,Cuando me agarran de la mano.
4608,Cuando me agarran de la mano.
4609,Cuando me agarran de la mano.
7067,Cuando me agarran de la mano.
89511,Cuando me agarran de la mano.
9419,Cuando me alertan sobre algo anormal.
11800,Cuando me amenazan.
12601,Cuando me animan y me demuestran afecto.
9249,Cuando me animan y me echan porras.
451,Cuando me apoyan
1916,Cuando me apoyan
114310,Cuando me apoyan
4035,Cuando me apoyan
43171,Cuando me apoyan
5295,Cuando me apoyan
6147,Cuando me apoyan
7069,Cuando me apoyan
7444,Cuando me apoyan
7445,Cuando me apoyan
9126,Cuando me apoyan
9478,Cuando me apoyan
9524,Cuando me apoyan
10345,Cuando me apoyan
10443,Cuando me apoyan
107611,Cuando me apoyan
3847,Cuando me apoyan en algo
3848,Cuando me apoyan en algo
9385,Cuando me apoyan en algo
6199,Cuando me apoyan en cosas difíciles.
7905,Cuando me apoyan en las cosas que me gusta hacer y cuando digo que tengo relaciones sexuales y no me juzgan.
22411,Cuando me apoyan en lo que decido.
11584,Cuando me apoyan en lo que me propongo.
1760,"Cuando me apoyan en lo que necesito, en mis opiniones, cuando me dan consejos u otras cosas."
42111,Cuando me apoyan en los problemas que me suceden y siempre están conmigo.
12271,Cuando me apoyan en mis decisiones y me ayudan a tomar la más segura.
3855,Cuando me apoyan en mis decisiones.
6250,Cuando me apoyan en mis decisiones.
12752,"Cuando me apoyan en mis sesiones, me comprenden y me protegen cuando pueden."
8428,Cuando me apoyan en situaciones difíciles.
36161,"Cuando me apoyan en situaciones, sólo a ellos les tengo confianza."
36221,Cuando me apoyan o me demuestran cariño.
10359,Cuando me apoyan o me vigilan
19471,"Cuando me apoyan y cuando siento que no puedo hacer algo, ellos me dan ánimo."
9970,"Cuando me apoyan y están para mí en las buenas, en las malas y en las peores."
2369,Cuando me apoyan y me cuidan cuando intento hacer algo.
5829,Cuando me apoyan y me dan ánimos.
5081,"Cuando me apoyan y me defienden, aunque yo pueda."
28251,"Cuando me apoyan, están atentos a mí o cuando se preocupan por mí."
4943,"Cuando me apoyan, me abrazan, etc."
11256,"Cuando me apoyan, me comprenden."
15971,"Cuando me apoyan, me demuestran su cariño y se preocupan por mí."
10885,"Cuando me apoyan, me respetan."
2278,Cuando me apoyan.
5619,Cuando me apoyan.
7280,Cuando me apoyan.
7281,Cuando me apoyan.
7282,Cuando me apoyan.
7283,Cuando me apoyan.
8155,Cuando me apoyan.
8397,Cuando me apoyan.
8345,Cuando me aprecian y me cuidan.
8533,Cuando me avisan lo que puede pasar después.
106611,Cuando me ayuda a arreglar problemas
4369,Cuando me ayudan
5412,Cuando me ayudan
8946,Cuando me ayudan
9936,Cuando me ayudan
117111,"Cuando me ayudan a HACER tareas, cuando me despiertan para ir a la secundaria y cuando pasamos tiempo en familia."
66111,"Cuando me ayudan a reflexionar, me abrazan y me demuestran cariño."
6612,"Cuando me ayudan a reflexionar, me abrazan y me demuestran cariño."
6613,"Cuando me ayudan a reflexionar, me abrazan y me demuestran cariño."
6614,"Cuando me ayudan a reflexionar, me abrazan y me demuestran cariño."
5514,Cuando me ayudan a resolver algún problema.
3296,Cuando me ayudan a resolverlo o cuando siempre me apoyan en todo lo que hago.
9240,Cuando me ayudan a salir de un problema.
104611,Cuando me ayudan a ser Aldo para no lastimarme.
8250,Cuando me ayudan a tomar decisiones.
5158,"Cuando me ayudan a tranquilizarme, cuando están a mi lado y me apoyan, cuando se preocupan por si soy feliz y por lo que me gusta, aprecio muchas más cosas."
5077,Cuando me ayudan con la tarea.
35,Cuando me ayudan con las tareas
11224,"Cuando me ayudan con mis problemas, cuando me apoyan."
21013,Cuando me ayudan con mis problemas.
26341,Cuando me ayudan con un problema.
26351,Cuando me ayudan con un problema.
2104,Cuando me ayudan cuando tengo un problema.
186,Cuando me ayudan en algo
12121,Cuando me ayudan en algo o cuando estoy junto a alguien.
2900,Cuando me ayudan en algo que no entiendo.
21721,Cuando me ayudan en algún problema.
7300,Cuando me ayudan en algún problema.
6949,Cuando me ayudan en alguna actividad
8033,Cuando me ayudan en alguna pelea.
8034,Cuando me ayudan en alguna pelea.
5705,Cuando me ayudan en cosas que no entiendo o cuando me defienden de otras personas.
9353,"Cuando me ayudan en cosas que se me dificultan, o cuando hago algo mal o incorrectamente y me ayudan a mejorarlo o arreglarlo."
3996,Cuando me ayudan en la tarea o cuando me felicitan por algún logro.
8748,Cuando me ayudan en las cosas que necesito.
23511,Cuando me ayudan en mis errores.
4266,Cuando me ayudan en situaciones de riesgo.
8295,Cuando me ayudan en un tema físico y emocional.
3706,Cuando me ayudan o me defienden.
10224,Cuando me ayudan y me apoyan.
4180,"Cuando me ayudan, cuando voy caminando y me tropiezo, alguien me agarra para que no me caiga."
9312,"Cuando me ayudan, me aconsejan, me apoyan, están ahí si los necesito, etc."
5482,"Cuando me ayudan, me dan consejo, me motivan, intentan entender la situación y muestran mucho interés en ella."
11325,"Cuando me ayudan, me dan consejos y platican conmigo cuando me siento mal."
4179,"Cuando me ayudan, si voy caminando y me tropiezo, alguien me agarra para que no me caiga."
9130,"Cuando me ayudan, sí, una persona me está siguiendo."
6353,Cuando me ayudan.
9044,Cuando me ayudan.
3374,"Cuando me brindan apoyo, me demuestran afecto y se sienten orgullosos de mí, y me apoyan en las decisiones."
11027,Cuando me buscan en la escuela y hacen tarea conmigo.
11081,CUANDO ME CAIGO
29921,"Cuando me caigo, me ayudan y me preguntan si estoy bien."
8736,Cuando me calman para que no discuta con alguien.
4989,Cuando me compran comida.
10227,Cuando me compran cosas que ocupo para la tarea o cuando me ayudan a hacer mi tarea.
8308,"Cuando me comprenden y me apoyan en cosas que son de mi interés o en las que tengo alguna dificultad, ya sea sentimental o física."
6397,Cuando me comprenden.
6497,Cuando me comprenden.
9406,Cuando me conocen bien y saben que hay algo más.
13131,Cuando me consienten y me felicitan por lo que hago.
20032,Cuando me consienten.
11837,Cuando me consienten.
9383,"Cuando me consuelan porque me regañaron en la escuela, mi mamá hace la comida, me compra tenis si lo necesito"
8801,Cuando me consuelan y cuando me dan consejos.
7005,Cuando me corrige
7006,Cuando me corrige
7008,Cuando me corrige
7009,Cuando me corrige
70101,Cuando me corrige
70111,Cuando me corrige
7012,Cuando me corrige
10067,Cuando me corrigen
4216,"Cuando me corrigen con pura grosería y algún que otro manotazo, después me dicen que eso no se debe hacer."
3735,"Cuando me corrigen en algunas cosas para que no salga lastimada, o cuando hacen algo para hacerme sentir mejor."
98710,Cuando me cuentan sus problemas.
6805,Cuando me cuida alguien que me quiere hacer daño.
5794,CUANDO ME CUIDAN
4239,Cuando me cuidan cuando estoy enferma.
15791,"Cuando me cuidan cuando me siento mal, cuando me abrazan, cuando me dicen que soy importante para ellos, cuando me escuchan cuando estoy mal y me aconsejan."
3935,Cuando me cuidan de tomar una mala decisión.
7886,Cuando me cuidan en las calles.
3205,Cuando me cuidan mis padres.
14182,Cuando me cuidan y me siento segura.
7748,"Cuando me cuidan, cuando se preocupan por mí."
15111,Cuando me cuidan.
800,Cuando me cuidan.
1458,Cuando me cuidan.
22631,Cuando me cuidan.
3896,Cuando me cuidan.
9525,Cuando me cuidan.
4015,"Cuando me cuido a mí misma, me gusta tener más tiempo para mí; por ejemplo, leer, hacer una rutina diaria, enfocarme en mí, hacer actividades que me ayuden para mi futuro."
7469,Cuando me da consejo
11774,"Cuando me da la luz, puede hacerme mal."
7473,Cuando me daba cariño.
2359,Cuando me dan abrazos y siento que se preocupan por mí.
8399,Cuando me dan abrazos.
10488,Cuando me dan afecto y atención.
2958,Cuando me dan afecto.
8043,Cuando me dan afecto.
9129,Cuando me dan amor.
7801,Cuando me dan atención
10457,Cuando me dan atención o afecto.
9667,"Cuando me dan buenos consejos, esos consejos que son buenos para mí."
114610,Cuando me dan buenos consejos.
12531,Cuando me dan cariño o me protegen.
12171,Cuando me dan cariño.
8373,Cuando me dan cariño.
30921,Cuando me dan consejos
9813,Cuando me dan consejos
9835,Cuando me dan consejos
11232,Cuando me dan consejos
11233,Cuando me dan consejos
11757,Cuando me dan consejos
96511,Cuando me dan consejos acerca de un cierto tema del cual tengo dudas
4195,Cuando me dan consejos buenos o intentan apoyarme en buenas decisiones.
1613,Cuando me dan consejos de vida y no me dan permiso para algo con lo que no estén de acuerdo.
16192,Cuando me dan consejos o apoyo
4476,Cuando me dan consejos o me ayudan a resolver un problema.
7839,"Cuando me dan consejos o me demuestran con abrazos, etc."
8022,Cuando me dan consejos o me dicen lo que está mal.
28631,Cuando me dan consejos o su opinión
8400,Cuando me dan consejos para mi salud y vida.
86610,"Cuando me dan consejos para que esté bien o segura, o cuando me preguntan cómo estoy o si necesito ayuda o algo, se agradece enormemente."
10623,"Cuando me dan consejos para que nadie me haga daño, van conmigo para protegerme o, cuando ven que estoy en peligro, evitan que me pase algo."
11182,Cuando me dan consejos sobre lo que está mal y lo que está bien.
10954,Cuando me dan consejos sobre qué hacer y qué no hacer.
3030,"Cuando me dan consejos sobre qué no aceptar alguna sustancia o alguna bebida en la calle o en una fiesta, cuando me dicen que no salga a altas horas de la noche o que no salga cuando ellos no están en casa."
2837,Cuando me dan consejos y me dan cariño.
5632,"Cuando me dan consejos, cuando me abrazan."
15462,"Cuando me dan consejos, cuando me preguntan a dónde y con quién quiero salir y se preocupan por mí, no tiene errores."
13452,"Cuando me dan consejos, mamá o sustituta."
8637,"Cuando me dan consejos, me escuchan."
2097,Cuando me dan consejos.
23711,Cuando me dan consejos.
3806,Cuando me dan consejos.
81911,Cuando me dan consejos.
9685,Cuando me dan cosas.
9686,Cuando me dan cosas.
11471,Cuando me dan de comer y convivimos a la hora de la comida.
3636,Cuando me dan de comer y se preocupan por mí.
11259,"Cuando me dan de comer, etc."
9338,Cuando me dan de comer.
105411,Cuando me dan de comer.
1676,"Cuando me dan dinero, me preguntan cómo estoy o cómo me siento."
10496,Cuando me dan el cariño que necesito.
9732,Cuando me dan el casco de la moto al salir.
423,Cuando me dan mi café en las mañanas.
19910,Cuando me dan mucho afecto y demuestran que harían lo que sea por mí.
5526,Cuando me dan muchos abrazos.
4617,"Cuando me dan paz, tranquilidad y seguridad."
6100,Cuando me dan un abrazo o me dicen cosas bonitas.
1897,Cuando me dan un abrazo.
9986,Cuando me dan un abrazo.
7853,Cuando me dan un buen consejo que yo sé que es bueno.
3279,Cuando me dan un fuerte abrazo.
91710,Cuando me dan un suéter porque tengo frío y no traigo suéter.
112310,Cuando me dan una fruta o algo saludable.
189,"Cuando me dan, me dan cosas."
10898,Cuando me dé fiebre.
40171,Cuando me dedican más tiempo
1040,Cuando me defiende
15313,Cuando me defiende
80411,Cuando me defiende de alguien
35411,Cuando me defiende de otras personas
35421,Cuando me defiende de otras personas
2173,Cuando me defienden
2243,Cuando me defienden
10261,Cuando me defienden
13362,Cuando me defienden
14832,Cuando me defienden
19122,Cuando me defienden
19771,Cuando me defienden
2376,Cuando me defienden
2627,Cuando me defienden
28821,Cuando me defienden
34121,Cuando me defienden
35331,Cuando me defienden
3577,Cuando me defienden
39111,Cuando me defienden
4242,Cuando me defienden
5167,Cuando me defienden
5394,Cuando me defienden
5827,Cuando me defienden
7323,Cuando me defienden
7753,Cuando me defienden
8624,Cuando me defienden
8725,Cuando me defienden
9024,Cuando me defienden
9032,Cuando me defienden
9170,Cuando me defienden
9409,Cuando me defienden
9915,Cuando me defienden
9916,Cuando me defienden
10263,Cuando me defienden
10829,Cuando me defienden
11135,Cuando me defienden
6183,Cuando me defienden de algo o me apoyan en mis cosas.
113710,Cuando me defienden de algo.
8920,Cuando me defienden de algo.
8498,Cuando me defienden de alguien o de algo.
8880,Cuando me defienden de alguien que me lastima.
29941,Cuando me defienden de alguien.
6878,Cuando me defienden de algún rumor sobre mí
3670,Cuando me defienden de las personas que me critican y así.
2769,Cuando me defienden de los acosadores.
9330,Cuando me defienden de los demás. :D
10107,Cuando me defienden de opinión de otros.
10232,Cuando me defienden de otra persona.
3775,"Cuando me defienden de otros, me hacen sentir segura y querida."
25151,Cuando me defienden de personas que me insultan.
36101,Cuando me defienden de personas que me quieren hacer daño.
10850,Cuando me defienden mis amigas.
20311,Cuando me defienden mis amigos y primos.
2979,Cuando me defienden o me cuidan.
113310,Cuando me defienden o me dan cariño.
25141,Cuando me defienden o me dicen que eso está mal.
7733,Cuando me defienden o protegen
8072,Cuando me defienden verbalmente o corporalmente.
5326,Cuando me defienden y ayudan
10937,"Cuando me defienden y cuando estoy triste, me hacen feliz y me demuestran su cariño, y tal vez amor."
6390,CUANDO ME DEFIENDEN Y CUANDO ME DAN OPINIONES.
19091,Cuando me defienden y me protegen y se preocupan por mí.
11490,Cuando me defienden y me protegen.
16381,Cuando me defienden.
7623,Cuando me defienden.
8567,Cuando me defienden.
8724,Cuando me defienden.
102611,Cuando me defienden.
10446,Cuando me defienden.
11098,Cuando me defienden.
11703,Cuando me defienden.
30731,"Cuando me defiendes de otras personas mayores, es importante porque siento que me estás protegiendo."
30741,"Cuando me defiendes de otras personas mayores, es importante porque siento que me estás protegiendo."
2857,Cuando me definen
8760,Cuando me definen
5788,"Cuando me dejan con mi abuela y me pone mucha atención, siempre hace lo mismo con mis padres."
516,"Cuando me dejan en la escuela, no me dejan sola, me cuidan mucho."
76111,Cuando me dejan sola en casa o ignoran cuando me lastimo accidentalmente.
7049,"Cuando me dejan solo, ponen seguro a la puerta para que nadie entre."
11245,Cuando me demuestran afecto o me apoyan.
5763,Cuando me demuestran afecto o me dicen que no lo haga porque me lastimaré.
9135,Cuando me demuestran afecto o se preocupan por mí.
32161,"Cuando me demuestran afecto, se preocupan por mí."
9031,Cuando me demuestran afecto.
4466,Cuando me demuestran amor o cariño.
492,Cuando me demuestran amor.
8844,Cuando me demuestran cariño y tiempo
1109,Cuando me demuestran cariño.
24911,Cuando me demuestran cariño.
24921,Cuando me demuestran cariño.
10125,Cuando me demuestran cariño.
10126,Cuando me demuestran cariño.
13710,Cuando me demuestran que les importo y me dan un abrazo que me hace sentir segura.
19642,Cuando me demuestran que me protegen.
7855,Cuando me demuestran que me quieren y se preocupan por mí.
13981,Cuando me demuestran que son parte de mí y de mi vida.
2130,Cuando me demuestran respeto y cariño.
9669,"Cuando me demuestran su apoyo o me suelen abrazar, siento que me cuidan."
9670,"Cuando me demuestran su apoyo, o me suelen abrazar, siento que me cuidan."
5837,Cuando me demuestran su apoyo.
46121,Cuando me demuestran su cariño.
8692,"Cuando me demuestran un inmenso cariño, no solo toman en cuenta mi presencia en la convivencia, sino que también demuestran su querer hacia mí."
5840,Cuando me dice lo que está mal
12151,Cuando me dice que me cuida.
9494,Cuando me dice que no me drogue y no consuma alcohol.
9692,"Cuando me dicen ""cuidado, te vas a lastimar"""
4424,"Cuando me dicen ""cuídate mucho"" y cuando me preguntan cómo estoy, etc."
10908,"Cuando me dicen ""no hagas eso, te puedes lastimar""."
12001,"Cuando me dicen ""Nosotros te apoyamos"", me siento muy segura."
7508,"Cuando me dicen ""te quiero"" :)."
32611,"Cuando me dicen ""te quiero"", cuando me dicen ""me caes bien"", cuando me siento segura con ellos, cuando me siento bien con ellos, cuando lo demuestran."
8813,"Cuando me dicen ""te quiero""."
95611,"Cuando me dicen ""vete con cuidado"" cuando voy a la escuela."
25951,"Cuando me dicen a dónde voy a estar, cuánto tiempo, con quién voy a ir, qué vamos a hacer, etc."
7535,"Cuando me dicen algo malo, como ""vamos al parque"", y les digo ""le voy a preguntar a mi mamá"", dicen ""no, no le digas""."
11657,Cuando me dicen algo muy bonito.
6323,Cuando me dicen algo por mi bien.
4976,Cuando me dicen algo que me agrada o que me hace sentir bien.
8497,Cuando me dicen chistes.
9972,Cuando me dicen cómo estoy.
9540,Cuando me dicen cómo me siento.
44101,Cuando me dicen cosas bonitas.
7352,Cuando me dicen cosas bonitas.
2545,Cuando me dicen cosas lindas o me tratan bonito.
10420,"Cuando me dicen cosas muy bonitas, adoro la manera en que me cuidan."
8687,Cuando me dicen cosas positivas.
100511,Cuando me dicen cosas que me hacen sentir mejor.
9960,Cuando me dicen cosas que me pueden dañar o que me lastiman.
654,"Cuando me dicen cosas y mis amigos me dicen que no les haga caso, me cuidan todos los días."
10036,Cuando me dicen cuídate.
86311,Cuando me dicen cumplidos.
5660,Cuando me dicen en lo que estoy mal o cuando les conté algo y llega la persona y me protegen.
27441,Cuando me dicen en qué soy bueno.
11855,"Cuando me dicen guapo, XD."
4560,"Cuando me dicen las consecuencias que pueden ocurrir si quiero hacer algo, pero a la vez no es un regaño ya que me lo dicen con cariño."
2159,"Cuando me dicen las cosas por mi bien, siento que me están cuidando."
3006,Cuando me dicen las cosas que están mal.
5746,Cuando me dicen las cosas que estoy haciendo mal.
14462,Cuando me dicen lo que está bien o mal entre otras cosas.
10946,Cuando me dicen lo que está bien.
2256,Cuando me dicen lo que está mal
5540,Cuando me dicen lo que está mal
9232,Cuando me dicen lo que está mal (lo que estoy haciendo) y empiezan a ser más atentos en esas cosas.
8924,Cuando me dicen muchas cosas positivas.
11936,Cuando me dicen palabras que me hacen sentir seguro.
9410,Cuando me dicen que a veces lo que hago está muy mal.
2868,"Cuando me dicen que algo está mal, lo hago mejor."
116410,Cuando me dicen que algo que estoy a punto de hacer está mal.
26201,Cuando me dicen que algo que quiero hacer está mal.
3853,Cuando me dicen que alguna acción que hago está mal porque me daña en la salud mental o físicamente.
11683,Cuando me dicen que coma bien o que me quieren.
2377,Cuando me dicen que debo dejar de hacer cosas malas.
7778,Cuando me dicen que Dios está conmigo y oran por mí.
10399,Cuando me dicen que Dios te bendiga.
10042,Cuando me dicen que es bien para mí y que yo decida lo que crea que es mejor para mí.
41001,"Cuando me dicen qué es lo que está bien y qué está mal, también cuando me dicen cosas que me animan, o cuando me lesiono y me preguntan si estoy bien."
9283,Cuando me dicen que eso es peligroso.
5513,Cuando me dicen que eso está mal.
15832,Cuando me dicen qué está bien o mal.
10194,Cuando me dicen qué está bien y qué está mal.
7589,"Cuando me dicen que está mal algo que voy a hacer, y cuando me preguntan si ya comí."
7906,Cuando me dicen qué está mal y qué está bien.
12103,Cuando me dicen que están en las buenas y en las malas conmigo.
38181,Cuando me dicen que estoy absuelto.
10262,Cuando me dicen que estoy bien o mal.
6662,Cuando me dicen que estoy bien.
9853,Cuando me dicen que estoy haciendo algo mal.
7624,"Cuando me dicen que estoy haciendo mal, saben lo que me gusta y lo que no, cuando realmente veo acciones donde se ve el afecto hacia mí."
2307,"Cuando me dicen que estoy mal en acciones, cuando se preocupan por mí por equis razón, etc."
11403,Cuando me dicen que haga algo porque es por mi bien.
8355,Cuando me dicen que haga algo.
6128,Cuando me dicen que haga cosas buenas.
32551,Cuando me dicen que haga las cosas con cuidado.
5780,Cuando me dicen que le eche ganas a la escuela y que ya no me meta en problemas.
7150,Cuando me dicen que les gusta mi cuerpo.
108611,"Cuando me dicen que lo haga mejor, pero es por mi bien."
7891,Cuando me dicen que lo que hago está mal.
10011,Cuando me dicen que me aman mucho a mí y a mi hermana.
10337,Cuando me dicen que me cuide.
3187,"Cuando me dicen que me encargaron con ellos, cuando me invitan a donde van, me dan de comer, me invitan a hacer cosas positivas, cuando me llevan a la multa, hay muchas acciones que me dicen que me están cuidando. Pero solo con mis familiares es con quienes me siento más segura de que en verdad me están cuidando, con los amigos casi no depende mucho de quiénes son."
3984,Cuando me dicen que me quieren mucho.
4579,"Cuando me dicen que me quieren y cuando me sucede algo, se preocupan por mí."
9480,Cuando me dicen que me quieren.
2087,Cuando me dicen que me quite de ahí.
6908,Cuando me dicen que me vaya con cuidado y que no le hable a ningún extraño.
2698,Cuando me dicen que me veo bien.
8899,Cuando me dicen que mejor no me meta en problemas.
9886,Cuando me dicen que no en una situación de peligro.
9389,Cuando me dicen que no hable con él.
9776,"Cuando me dicen que no haga ""x"" cosa por mi bien."
9777,"Cuando me dicen que no haga ""x"" cosa por mi bien."
3360,Cuando me dicen que no haga algo porque está mal pero no me lo dicen regañando.
9027,Cuando me dicen que no haga algo porque puedo lastimarme.
75311,Cuando me dicen que no haga algo.
35821,Cuando me dicen que no haga alguna travesura.
23131,Cuando me dicen que no haga cosas malas para mí.
4103,Cuando me dicen que no haga cosas malas.
29541,Cuando me dicen que no haga cosas peligrosas.
12562,Cuando me dicen que no haga eso porque es peligroso.
9202,"Cuando me dicen que no haga eso porque está mal, también están ahí para apoyarme cuando ando mal, cuando me ayudan en cosas que no comprendo, etc."
8609,Cuando me dicen que no haga las cosas.
9340,Cuando me dicen que no haga travesuras.
14571,Cuando me dicen que no haga.
7996,Cuando me dicen que no hay algo malo.
3588,Cuando me dicen que no lo haga porque es muy probable que me pase algo.
5218,Cuando me dicen que no lo haga y que están para apoyarme.
19361,Cuando me dicen que no me porte mal o que no me vaya a pasar algo por estar jugando.
8328,Cuando me dicen que no me va a pasar nada.
9542,Cuando me dicen que no puedo hacerlo.
195,Cuando me dicen que no salga porque me puede pasar algo.
9843,Cuando me dicen que no sé algunas cosas que no están bien.
9845,Cuando me dicen que no sé algunas cosas que no están bien.
9846,Cuando me dicen que no sé algunas cosas que no están bien.
9725,Cuando me dicen que no tome malas decisiones.
4083,"Cuando me dicen que se preocupan por mí o quieren hacer algo lindo por mí, como darme ánimos para mi desempeño en la escuela o decir que soy única e importante."
4958,Cuando me dicen que tenga cuidado o se preocupan por si ya comí.
4269,Cuando me dicen que tenga cuidado.
8666,Cuando me dicen que tengo que tener cuidado.
30191,Cuando me dicen que todo está bien.
12901,Cuando me dicen que todo estará bien y estarán conmigo.
9417,Cuando me dicen que todo estará bien.
9987,"Cuando me dicen que todo va a estar bien, que no va a pasar nada y que esa persona me apoya mutuamente."
5560,Cuando me dicen que todo va a estar bien.
11048,Cuando me dicen que todo va a estar bien.
5286,Cuando me dicen que vaya con cuidado a un lugar o salga a un lugar.
9539,Cuando me dicen si está mal o no
99511,Cuando me dicen y me advierten de que algo es malo y que conlleva un peligro para mí y para mi salud.
9691,"Cuando me dicen, ""cuidado, te vas a lastimar"""
14071,"Cuando me dicen: ""Vi lo que estabas haciendo y estaba pendiente de ti para que no te pasara nada malo, y debes confiar en mí. Soy tu mamá, pase lo que pase, siempre te apoyaré, mamá o sustituta""."
15352,"Cuando me dicen: ""Yo te protegeré, cuídate de todo""."
11749,Cuando me dices que me quieren.
3426,Cuando me dieran las conveniencias.
10338,Cuando me digan que me cuide.
8205,Cuando me dijesen no hagas eso.
9707,Cuando me empiezan a decir lo mucho que les agrada estar conmigo.
12711,Cuando me encuentro en una situación arriesgada.
8196,"Cuando me enfermo, me llevan al doctor."
16,Cuando me enojo o cuando me siento mal.
103411,Cuando me entienden
384,Cuando me escuchan
385,Cuando me escuchan
3857,Cuando me escuchan o me alientan.
2566,Cuando me escuchan y aconsejan.
14613,Cuando me escuchan y entienden o se preocupan por mí.
7803,Cuando me escuchan y me preguntan cómo me siento.
390,Cuando me escuchan y se interesan por mí.
15771,"Cuando me escuchan, me apoyan, me consuelan, me abrazan."
580,Cuando me están apoyando.
10863,Cuando me están apoyando.
109010,Cuando me están mirando.
8763,Cuando me están viendo.
9403,"Cuando me estén haciendo algo por una razón, así será."
7326,Cuando me evitan hacer cosas que pueden afectarme.
7688,Cuando me explican con más claridad lo que van a hacer.
2046,Cuando me felicitan por un logro.
15261,"Cuando me golpeó,"
152,Cuando me gritan
3566,Cuando me gritan.
71711,Cuando me habla
5601,Cuando me hablan bien y cuando me respetan.
539,Cuando me hablan bien y me abrazan.
11222,Cuando me hablan bien.
8716,"Cuando me hablan bonito cuando están conmigo, cuando lo necesito, me hacen sentir especial, etc."
8717,"Cuando me hablan bonito, cuando están conmigo, cuando me necesitan, me hacen sentir especial, etc."
9992,"Cuando me hablan bonito, me dicen que es malo para mí."
89010,Cuando me hablan con cariño.
4043,Cuando me hablan con cariño.
10385,Cuando me hablan con la verdad.
8314,Cuando me hablan con respeto y nunca nos peleamos.
19610,Cuando me hablan con sinceridad.
11544,Cuando me hablan de las consecuencias.
